Fans,Post,Following,Followers,ForwardNumber,@Number,Fake,class
25623,22,691,860,45,10418,1,0
1375,401,217,237,4,1912,1,1
6226,5,75,278,6,16403,1,0
1,0,1880,380,17,2370,0,1
6521,198,354,278,2,5490,0,1
2790,186,2472,2368,122,49046,0,1
1890,9951,538,555,9,77121,1,0
493,1,21726,23047,242,19426,1,0
249,48,2074,922,4,5372,0,0
60250,272,4019,3260,51,18617,0,1
106166,37,533,9555,221,106292,1,0
8507,0,1765,15487,385,7279,1,0
3208,945,898,176,11,3621,0,1
0,0,751,1283,62,46833,1,1
36,0,1570,971,62,98773,0,1
1874,96,761,716,2,3520,0,0
441,0,597,1624517,1275,503458,1,1
784,260,23,23,0,672,0,1
4048,0,1661,1305,12,10637,0,1
230,965,751,524,44,107648,0,1
21203,132,155,724,29,64901,1,0
50892,945,2637,2224,252,168092,0,1
4616,83,887,1056,3,25616,1,1
982,37,108,515,69,58251,1,1
6219,5170,1668,3094,8,47206,1,1
5315,41,669,355,13,3329,0,1
2889,269,613,1464,2,20024,1,1
2,753,275,136,0,1406,0,1
630,222,5000,2618,37,17016,0,0
1115,212,441,193,19,8440,0,1
3269,17,2004,1626,63,57018,0,1
900,4904,76,21,5,841,0,1
2226,36,1185,1134,27,9908,0,1
7471,1188,470,712,23,7154,1,0
10406,7108,914,1499,6,32283,1,1
350,945,1696,1427,147,8971,0,1
